app_id,tag
2210,Singleplayer
2210,Violent
2270,1990's
2270,2.5D
2270,Action
2270,Adventure
2270,Classic
2270,Cult Classic
2270,Difficult
2270,First-Person
2270,FPS
2270,Gore
2270,Great Soundtrack
2270,Moddable
2270,Nostalgia
2270,Old School
2270,Pixel Graphics
2270,Retro
2270,Shooter
2270,Singleplayer
2270,War
2270,World War II
2310,1990's
2310,Action
2310,Arena Shooter
2310,Atmospheric
2310,Boomer Shooter
2310,Classic
2310,Co-op
2310,Fast-Paced
2310,First-Person
2310,FPS
2310,Gore
2310,Great Soundtrack
2310,Horror
2310,Moddable
2310,Multiplayer
2310,Old School
2310,Retro
2310,Sci-fi
2310,Shooter
2310,Singleplayer
2320,1990's
2320,Action
2320,Arena Shooter
2320,Atmospheric
2320,Boomer Shooter
2320,Classic
2320,Co-op
2320,Fast-Paced
2320,First-Person
2320,FPS
2320,Gore
2320,Great Soundtrack
2320,Horror
2320,Moddable
2320,Multiplayer
2320,Old School
2320,Retro
2320,Sci-fi
2320,Shooter
2320,Singleplayer
2360,1990's
2360,Action
2360,Adventure
2360,Boomer Shooter
2360,Class-Based
2360,Classic
2360,Dark
2360,Dark Fantasy
2360,Difficult
2360,Fantasy
2360,First-Person
2360,FPS
2360,Gothic
2360,Magic
2360,Old School
2360,Puzzle
2360,Retro
2360,RPG
2360,Shooter
2360,Singleplayer
2600,Action
2600,Action RPG
2600,Adventure
2600,Atmospheric
2600,Classic
2600,Cult Classic
2600,Dark
2600,Female Protagonist
2600,First-Person
2600,Gothic
2600,Great Soundtrack
2600,Horror
2600,Immersive
2600,RPG
2600,Singleplayer
2600,Stealth
2600,Story Rich
2600,Supernatural
2600,Third Person
2600,Vampire
2610,Action
2610,Adventure
2610,Atmospheric
2610,Bullet Time
2610,Classic
2610,Controller
2610,Cult Classic
2610,Gore
2610,Great Soundtrack
2610,Horses
2610,Open World
2610,RPG
2610,Sandbox
2610,Shooter
2610,Singleplayer
2610,Story Rich
2610,Third Person
2610,Third-Person Shooter
2610,Violent
2610,Western
2620,Action
2620,America
2620,Atmospheric
2620,Classic
2620,Co-op
2620,Difficult
2620,First-Person
2620,FPS
2620,Historical
2620,Linear
2620,Military
2620,Multiplayer
2620,Nostalgia
2620,Old School
2620,Realistic
2620,Shooter
2620,Singleplayer
2620,Story Rich
2620,War
2620,World War II
2630,Action
2630,Adventure
2630,Atmospheric
2630,Casual
2630,Classic
2630,Co-op
2630,Controller
2630,First-Person
2630,FPS
2630,Historical
2630,Military
2630,Multiplayer
2630,Online Co-Op
2630,Shooter
2630,Simulation
2630,Singleplayer
2630,Story Rich
2630,War
2630,World War II
2630,Zombies
2640,Action
2640,Atmospheric
2640,Classic
2640,First-Person
2640,FPS
2640,Historical
2640,Military
2640,Multiplayer
2640,Shooter
2640,Singleplayer
2640,War
2640,World War II
2810,4X
2810,Action
2810,Economy
2810,Exploration
2810,Flight
2810,Open World
2810,Sandbox
2810,Sci-fi
2810,Simulation
2810,Singleplayer
2810,Space
2810,Space Sim
2810,Strategy
2810,Trading
2820,4X
2820,Action
2820,Atmospheric
2820,Capitalism
2820,Economy
2820,Exploration
2820,Flight
2820,Great Soundtrack
2820,Management
2820,Moddable
2820,Multiplayer
2820,Open World
2820,Sandbox
2820,Sci-fi
2820,Simulation
2820,Singleplayer
2820,Space
2820,Space Sim
2820,Strategy
2820,Trading
2870,Action
2870,Adventure
2870,Atmospheric
2870,Economy
2870,Exploration
2870,First-Person
2870,FPS
2870,Great Soundtrack
2870,Management
2870,Moddable
2870,Open World
2870,Sandbox
2870,Sci-fi
2870,Shooter
2870,Simulation
2870,Singleplayer
2870,Space
2870,Space Sim
2870,Strategy
2870,Trading
2990,3D
2990,Action
2990,Arcade
2990,Automobile Sim
2990,Baseball
2990,Basketball
2990,Bowling
2990,Casual
2990,Combat Racing
2990,Destruction
2990,Driving
2990,Football (American)
2990,Funny
2990,Local Multiplayer
2990,Multiplayer
2990,Physics
2990,Racing
2990,Singleplayer
2990,Third Person
2990,Vehicular Combat
3020,Action
3020,Adventure
3020,Atmospheric
3020,Bullet Time
3020,Classic
3020,First-Person
3020,FPS
3020,Gore
3020,Great Soundtrack
3020,Multiplayer
3020,Open World
3020,Shooter
3020,Singleplayer
3020,Stealth
3020,Story Rich
3020,Violent
3020,Western
3310,Casual
3310,Cute
3310,Funny
3310,Match 3
3310,Puzzle
3310,Singleplayer
3320,Action
3320,Addictive
3320,Aliens
3320,Casual
3320,Classic
3320,Clicker
3320,Colorful
3320,Cute
3320,Difficult
3320,Family Friendly
3320,Funny
3320,Great Soundtrack
3320,Management
3320,Point & Click
3320,Psychological Horror
3320,Relaxing
3320,Simulation
3320,Singleplayer
3320,Strategy
3320,Underwater
3330,2D
3330,Action
3330,Addictive
3330,Arcade
3330,Casual
3330,Classic
3330,Colorful
3330,Cute
3330,Difficult
3330,Family Friendly
3330,Funny
3330,Indie
3330,Match 3
3330,Physics
3330,Puzzle
3330,Replay Value
3330,Retro
3330,Shooter
3330,Singleplayer
3330,Strategy
3390,2D
3390,Action
3390,Arcade
3390,Casual
3390,Family Friendly
3390,Nostalgia
3390,Psychological Horror
3390,Singleplayer
3390,Underwater
3480,2D
3480,Addictive
3480,Arcade
