app_id,name,playtime_minutes,playtime_hours,playtime_2weeks,img_icon_url,img_logo_url
230410,Warframe,550,9.17,0,22064646470f4c53388ba87774c7ac10f0a91ffa,
236390,War Thunder,1,0.02,0,c69fbafb6e9891314cc5df0fe6a659612c289bf9,
238070,Shadow Warrior Classic (1997),18,0.3,0,c14baa163827ff7fd44a71bb64d81b3e8085d602,
223710,Cry of Fear,450,7.5,0,962637bf69fddc5466b042c748b6408d2901f25c,
286100,You Have to Win the Game,25,0.42,0,26628aeaa64d8827918cd2e8abefa2a27bb29d28,
8870,BioShock Infinite,1098,18.3,0,4ebaf5f9ee74f50152f7ff361debef7553fa0e4e,
210770,Sanctum 2,251,4.18,0,4cdfa1d19be460374a111b718ce3a204f21ea1dc,
39140,FINAL FANTASY VII,124,2.07,0,dc89ce8f07d5ec36a5617a66fe16e3541d2cc172,
239030,"Papers, Please",559,9.32,0,102e22fc7e0689cb5a9d8cfdd5a6725d571d1a0f,
244210,Assetto Corsa,779,12.98,0,c35922c480816b55f18b2843c6d838ccbc8ff825,
239350,Spelunky,66,1.1,0,f11cc6800f5139e79643331be28c348cd7ccbba2,
236850,Europa Universalis IV,1617,26.95,0,2553e828486183a4f5d5eb33036a95f07c698ded,
209000,Batman™: Arkham Origins,171,2.85,0,76dac70a2206de1a80da4950da43e1b05ea302a8,
239820,Game Dev Tycoon,195,3.25,0,f63ee73113b0880922a84e8d6af0d222fef91c40,
222880,Insurgency,1247,20.78,0,b072fc4239951c1952f4877edde340419438b528,
208610,Skullgirls ∞Endless Beta∞,0,0.0,0,7bf859db736b8825045b0cc79acc4bb7be8cd7b9,
245170,Skullgirls 2nd Encore,515,8.58,0,0931d59aa0e33244275f4fa6c4409816ccf00296,
233130,Shadow Warrior,0,0.0,0,5d7c205ce18f17a99c95ff81499c2f496e0570f2,
255520,Viscera Cleanup Detail: Shadow Warrior,10,0.17,0,56c3840d52a0da4f397d9991d368c75ed53d99fa,
262060,Darkest Dungeon®,984,16.4,0,af219e7f9ed0506cb0954aabb7f24a45e38d28e4,
226840,Age of Wonders III,396,6.6,0,06f134e787a2dd9022c0e8514ab918f4530665a8,
268870,Satellite Reign,199,3.32,0,b609806b16b6581548c7d2908f0f75936ea86f48,
269650,Dex,595,9.92,0,c6b56ed02ec7f1cad3ce20506da00a6d8bbf854e,
235460,METAL GEAR RISING: REVENGEANCE,2158,35.97,0,ad0f84fe48b57f3861b6c6d743f26b98d670c21f,
232790,Broken Age,20,0.33,0,4b859c6d3dbb58c102276516b4cff175e8dd4ea0,
274170,Hotline Miami 2: Wrong Number,838,13.97,0,3fc78b615529f78cc24cea247c7b2ee50c551bbd,
225840,Sven Co-op,605,10.08,0,b552055c69f4b4b05195b72805ed0bff09cf1e93,
280560,Danmaku Unlimited 2,933,15.55,0,99c3aa7e37a30ee9cca1c94b5f051f553b60bfe2,
282900,Hyperdimension Neptunia Re;Birth1,199,3.32,0,0cd228210df4f44ef8e77f62b18d1a9af81a72d4,
254700,Resident Evil 4 (2005),1684,28.07,0,535bfea3332662271f1e3a972832bc0b4aba5a38,
286690,Metro 2033 Redux,1118,18.63,0,353ea01a045c084215bca95519808eaa7319ce0c,
287390,Metro: Last Light Redux,689,11.48,0,7139b7af2ad9d248d21e98302b964cd61474318c,
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,2678,44.63,0,7a1737163c96ea641143db45709a4ac444ba8f7b,
287980,Mini Metro,268,4.47,0,1b389229474bb7112d0f0b8189b1cbe4ff8f14b5,
292910,Deponia: The Complete Journey,131,2.18,0,98e31755e9695af7d427411d55100ce834f1f102,
228180,Action! - Gameplay Recording and Streaming,1825,30.42,0,15f6e6d0950711039d2fdb3d5747b89149188d16,
304930,Unturned,773,12.88,0,e18009fb628b35953826efe47dc3be556b689f4c,
310560,DiRT Rally,235,3.92,0,6af1249ba4f9c521ce981ee040ffa3b9ca603911,
311340,METAL GEAR SOLID V: GROUND ZEROES,645,10.75,0,60ea6c7b08077263bac018bcd32435ec858e867c,
312990,The Expendabros,176,2.93,0,63305a7d0473b92c6d8830a3f62527e64c479e7c,
269210,Hero Siege,209,3.48,0,c787f8aa68ebb1426c5a9633b7609d7e849c1bc2,
323190,Frostpunk,572,9.53,0,0561084dfe24c469c905fe0681da82aa31102836,
232890,Stronghold Crusader 2,1261,21.02,0,1e94888e7ac06dc974f4767db2a520c090fa6dbd,
221040,Resident Evil 6,0,0.0,0,0a0832a59b6c0a4ffa995b0343892729fe61ec1b,
323850,Move or Die,223,3.72,0,3998d6f23592638da8d080825cc5da2e6cd4ffa3,
307690,Sleeping Dogs: Definitive Edition,287,4.78,0,8ef5e84ffbd9a4b3fb28d308073bccb415fc25ab,
327860,Salt,258,4.3,0,6e3f3ad6aa5e21125ea964a932c381e7f05917fe,
261640,Borderlands: The Pre-Sequel,2929,48.82,0,af5ef05eac8b1eb618e4f57354ac7b3e918ab1bd,
